horizon,feature,MI_score,MI_rank,MI_runtime_seconds
28,item_id_FOODS_3_288,0.0016481705247173295,78,278.0109689235687
28,item_id_FOODS_3_785,0.001637429491306186,79,278.0109689235687
28,event_type_1_NoEvent,0.0016001257534545843,80,278.0109689235687
28,item_id_FOODS_3_351,0.0015922974994033723,81,278.0109689235687
28,item_id_FOODS_3_086,0.0015803536465757162,82,278.0109689235687
28,item_id_HOBBIES_1_348,0.0014998094413867236,83,278.0109689235687
28,store_id_TX_1,0.0014471736214929365,84,278.0109689235687
28,item_id_HOUSEHOLD_1_459,0.001374258207000878,85,278.0109689235687
28,item_id_HOBBIES_1_008,0.0013698757655227212,86,278.0109689235687
28,item_id_HOBBIES_1_341,0.0013170077654507395,87,278.0109689235687
28,item_id_FOODS_3_404,0.0012689649308974538,88,278.0109689235687
28,state_id_TX,0.001191699459536899,89,278.0109689235687
28,event_type_2_Religious,0.0011745155707076904,90,278.0109689235687
28,month_sin,0.0009886337867701656,91,278.0109689235687
28,item_id_FOODS_3_541,0.0009470437413208188,92,278.0109689235687
28,event_type_1_Cultural,0.0008498814930897325,93,278.0109689235687
28,item_id_FOODS_3_755,0.0007568886773201555,94,278.0109689235687
28,item_id_FOODS_3_741,0.0007179270475328181,95,278.0109689235687
28,item_id_FOODS_3_800,0.0006937703737373013,96,278.0109689235687
28,item_id_HOUSEHOLD_1_277,0.0006712619573772116,97,278.0109689235687
28,item_id_HOUSEHOLD_1_303,0.0006417762910109204,98,278.0109689235687
28,item_id_FOODS_3_501,0.0006044547214152374,99,278.0109689235687
28,snap_active,0.0005663808414180238,100,278.0109689235687
28,item_id_HOBBIES_1_254,0.0005394378298557712,101,278.0109689235687
28,has_event_1,0.0004890811559983277,102,278.0109689235687
28,item_id_HOBBIES_1_268,0.00044202226316336635,103,278.0109689235687
28,item_id_HOBBIES_1_256,0.0003670597229978867,104,278.0109689235687
28,dayofmonth,0.00027462365152430834,105,278.0109689235687
28,item_id_FOODS_3_150,0.0002303859282459797,106,278.0109689235687
28,item_id_FOODS_3_245,0.00020475922093954324,107,278.0109689235687
28,item_id_FOODS_3_099,0.00018692383645202426,108,278.0109689235687
28,item_id_FOODS_3_498,0.00016963536513969757,109,278.0109689235687
28,item_id_HOBBIES_1_295,0.00015699893293685818,110,278.0109689235687
28,item_id_HOBBIES_1_371,0.00013658574101871324,111,278.0109689235687
28,item_id_FOODS_3_007,0.0,112,278.0109689235687
28,item_id_FOODS_3_234,0.0,113,278.0109689235687
28,has_any_event,0.0,114,278.0109689235687
28,has_event_2,0.0,115,278.0109689235687
28,item_id_FOODS_3_064,0.0,116,278.0109689235687
28,item_id_FOODS_3_435,0.0,117,278.0109689235687
28,item_id_FOODS_3_455,0.0,118,278.0109689235687
28,item_id_FOODS_3_319,0.0,119,278.0109689235687
28,item_id_FOODS_3_318,0.0,120,278.0109689235687
28,item_id_FOODS_3_547,0.0,121,278.0109689235687
28,item_id_FOODS_3_681,0.0,122,278.0109689235687
28,item_id_FOODS_3_702,0.0,123,278.0109689235687
28,item_id_FOODS_3_723,0.0,124,278.0109689235687
