horizon,model,n_features,feature_set,RMSE_mean,RMSE_std,MAE_mean,MAE_std,sMAPE_mean,sMAPE_std,R2_mean,R2_std,training_time_mean,training_time_std,prediction_time_mean,prediction_time_std
7,MI_MLP_Top20,20,Top20,275.32705336950727,54.39603776628362,160.18761256777697,25.83772708951868,13.789909103307874,3.6267399114047882,0.9323145041210509,0.040654261043039305,86.07099056243896,18.600635288867384,0.006589460372924761,0.0015262571476986108
7,MLP_All,60,All,246.88251101015356,52.83513365820884,143.3436452525116,21.193152619675743,13.045768481764757,4.328925281181639,0.9451695799268081,0.037420527042000495,86.24824237823486,15.229849562864526,0.0073070049285888,0.0004345113815274628
7,RandomForest_All,60,All,256.5820142261995,52.70921668260417,146.22303137024136,22.622659603269533,12.580783191044977,4.016218099415876,0.9407804936777691,0.038875293547066134,114.97786860466003,3.46294815925207,0.04134588241577146,0.01083917400386694
7,Ridge_All,60,All,272.43129809719323,59.70546720427703,164.14992575599723,28.79042302126278,15.258970751505444,5.005920318312505,0.9327921283672247,0.04400339802411466,0.17308783531188962,0.004851977090315502,0.0059553146362304205,0.0011457816427546984
14,Boosting_All,60,All,222.61325079671934,23.74040721870918,135.11185655314608,12.892546164786962,12.409976966885086,3.6951773658091676,0.9584831811943187,0.013261151860121237,5.063238525390625,0.5390733864785576,0.01705470085144036,0.0005944558043094025
14,MI_MLP_Top10,10,Top10,269.31982215945334,53.79691343326788,158.43449339500714,29.70318731951467,13.828688872521264,3.635751758978375,0.935821443080426,0.03469253653108234,34.93515477180481,8.690271002201332,0.00508236885070794,0.001071764401958228
14,MI_MLP_Top15,15,Top15,271.31504380853085,51.5182480216073,160.0415508187609,30.12543168255624,13.978406160684665,3.627201863757592,0.935178791643955,0.03381016066129927,53.60791039466858,5.433391480104737,0.0052589416503905796,0.002044700194416079
14,MI_MLP_Top20,20,Top20,270.7728419920656,49.91543197205524,158.4313308620205,28.007137437479475,13.69071242993553,3.509714891784767,0.9356611278258852,0.0327611392651295,47.32550539970398,8.57037061711433,0.00556478500366206,0.0006524230778449313
14,MLP_All,60,All,247.1293483088106,51.76334761022817,145.12471103995074,21.430796152557633,13.068084515004667,4.083735976521483,0.9454338005323187,0.03494669155192202,85.22121405601501,11.104109385487396,0.010445404052734319,0.006062846144697071
14,RandomForest_All,60,All,252.84889996857146,45.50656954316541,146.02886577947177,19.19830036400669,12.746341999518279,3.5703416602072355,0.9434573135008794,0.03238432636261049,115.41286430358886,2.980918411426871,0.043194532394409124,0.010119347627925577
14,Ridge_All,60,All,269.192598786932,52.240300336817604,161.36080418773048,26.70527434884688,15.056793764214754,4.603391666979289,0.9359738586800394,0.03435619426032646,0.18132958412170405,0.011000444896499028,0.00565018653869624,0.00018582251367200297
28,Boosting_All,60,All,233.60337363155503,21.81906231236321,140.22057896748663,14.191673562220283,12.872464292573643,3.740274350542865,0.9541117555415699,0.01582131643594246,4.78746337890625,0.4558349608842548,0.0206701278686523,0.005640150330705674
28,MI_MLP_Top10,10,Top10,285.59682565273107,61.94068853407461,166.80834760516908,29.863739131158624,14.314062077215638,3.8125076338436856,0.9266005302276341,0.044975944475419236,29.71269760131836,7.594564987803493,0.00401196479797358,0.0009895715938073306
28,MI_MLP_Top15,15,Top15,287.8711170646239,62.2343078432616,167.90867212436078,30.915966576326028,14.414689220474418,3.7932680593760444,0.9256291038297924,0.04438281143111253,44.72714853286743,13.979602166556143,0.00465979576110834,0.00019470308419547474
28,MI_MLP_Top20,20,Top20,285.88152312033253,60.400432166360545,166.877879990047,29.432679108699595,14.287363220262773,3.7921374039482414,0.9267303197731757,0.04369143747875795,51.703374767303465,7.499856945393117,0.0058986663818359,0.0002618722535367965
28,MLP_All,60,All,261.67611557304923,66.52957258938085,151.9665252834941,28.51065327524861,13.39955829637297,4.391121230691393,0.9367535131376495,0.047049434508661385,67.40912790298462,13.879170770740021,0.01034255027770992,0.007376160145082709
28,RandomForest_All,60,All,263.51670198276645,55.20056084076371,149.68799214250848,21.309559251468432,12.955101464735957,3.6261081436988696,0.937399034185096,0.04182539805015762,113.2338095664978,3.3656216399670003,0.04129395484924312,0.0065327511877098345
28,Ridge_All,60,All,280.3829136220273,62.05032683782917,166.9041311919171,28.418077881603512,15.49513902021622,4.71756939844368,0.929046819446113,0.04409578528389317,0.3285767555236816,0.3523461387450479,0.00556435585021968,0.000193747598415485
